"product_id","sku","name","price","color","product_type","product_image"
"6749","NPCH05","Silver Medula Cursive Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_medula_cursive_pendant.jpg"
"6750","NPCH06","Silver Grand Cursive English Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_grand_cursive_english_pendant.jpg"
"6751","NPCH07","Silver Dual Infinity Style Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/P/NPCH07_1.jpg"
"6752","NPCH08","Silver Indi Script Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_indi_script_pendant.jpg"
"6771","SE-02-E-201-16","Vine Drop Earrings","799.0000","Multi-Color","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/m/img_1782.jpg"
"6777","SE-02-N-507-16","Mint Choker","599.0000","Blue","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/e/se-02-n-507-16-1.jpg"
"6778","SE-02-N-508-16","Rosaline Choker","599.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/r/o/rosaline_choker.jpg"
"6790","SE-02-N-1105-16","Macilent Necklace Set","999.0000","Multi-Color","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/S/E/SE-02-N-1105-16_1_1.jpg"
"6801","SE-02-E-1103-16","Effervescent Drop Earrings","799.0000","Multi-Color","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/m/img_1785_copy.jpg"
"6803","SE-02-E-1105-16","Cassandra Drop Earrings","799.0000","Multi-Color","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/S/E/SE-02-E-1105-16_1_1.jpg"
"6809","SE-02-N-1115-16","Choker Bullet Tassel Necklace","1299.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/S/E/SE-02-N-1115-16_1_1.jpg"
"6837","NV-01-C01-234-16","Sky Blue Tassel","199.0000","Blue","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/m/img_7170_copy_1_.jpg"
